CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PARTICIPAÇÃO;PERÍODO DE VIGÊNCIA
PI01307-2016;INSTITUTO DE INFORMATICA;MODELO DE VIABILIDADE DE SISTEMAS DE INTELIGÊNCIA DE NEGÓCIO  VSM-BI;Ciências Exatas e da Terra - Ciência da Computação - Metodologia e Técnicas da Computação - Sistemas de Informação, Ciências Exatas e da Terra - Ciência da Computação - Sistemas de Computação - Arquitetura de Sistemas de Computação;Tipo de vínculo desconhecido;não;ELIOMAR ARAUJO DE LIMA (DOCENTE - Coordenador), GERSON NUNES ROSOLIM (DISCENTE - Colaborador), NADIA FELIX FELIPE DA SILVA (DOCENTE - Colaborador), VINICIUS SOBREIRA BRAGA (SERVIDOR - Colaborador);01/07/2016 a 01/07/2022
PI01929-2016;UNID. ACAD. ESP/CIENCIAS HUMANAS - GOI;A Licenciatura em Educação do Campo e a formação de professores em Ciências da Natureza na UFG/Regional Goiás;Ciências Humanas - Educação;Com Programa de Pós-graduação da UFG;não;ELISANDRA CARNEIRO DE FREITAS (DOCENTE - Coordenador), MARILDA SHUVARTZ (DOCENTE - Colaborador);01/03/2016 a 31/03/2020
PI01931-2016;UNID. ACAD. ESP/CIENCIAS HUMANAS - GOI;O perfil dos professores de Ciências da Natureza das escolas do campo na Cidade de Goiás;Ciências Humanas - Educação;Sem Vínculo (Projeto Isolado);não;BRUNA CARDOSO CRUZ (DOCENTE - Colaborador), ELISANDRA CARNEIRO DE FREITAS (DOCENTE - Coordenador), HIGOR JUNIOR DE OLIVEIRA (DISCENTE - Colaborador);01/08/2016 a 31/07/2017
PI01256-2016;INSTITUTO DE CIENCIAS BIOLOGICAS;EFEITO DA Solanum lycocarpum (LOBEIRA) NO SISTEMA CARDIOVASCULAR DE   RATOS ESPONTANEAMENTE HIPERTENSOS ;Ciências Biológicas - Fisiologia - Fisiologia de Órgãos e Sistemas - Fisiologia Cardiovascular, Ciências Biológicas - Fisiologia - Fisiologia de Órgãos e Sistemas - Fisiologia Renal;Tipo de vínculo desconhecido;não;CARLOS HENRIQUE DE CASTRO (DOCENTE - Vice-coodernador), DIEGO BASILE COLUGNATI (DOCENTE - Colaborador), ELIZABETH PEREIRA MENDES (DOCENTE - Coordenador), FERNANDA CRISTINA ALCANTARA DOS SANTOS (DOCENTE - Colaborador), FERNANDA NARUMI MIYAGI YOSHIHARA (DISCENTE - Colaborador), KATIA FLAVIA FERNANDES SILVA (DOCENTE - Colaborador), LARISSA MATUDA MACEDO (SERVIDOR - Colaborador), THAYNARA ALMEIDA SANTANA (DISCENTE - Colaborador);01/01/2016 a 31/12/2020
PI0426-2016;UNID. ACAD. ESP/BIOTECNOLOGIA - CATALA;LEVANTAMENTO DE ESPÉCIES E ESTUDO POPULACIONAL E REPRODUTIVO DOS INVERTEBRADOS DO SUDESTE DO ESTADO DE GOIÁS;Ciências Biológicas - Zoologia - Taxonomia dos Grupos Recentes;Sem Vínculo (Projeto Isolado);não;EMERSON CONTREIRA MOSSOLIN (DOCENTE - Coordenador), GABRIELA DE SOUSA RIBEIRO (DISCENTE - Colaborador), LUCAS RODRIGO REZENDE (DISCENTE - Colaborador), MICHELLY DE FÁTIMA AGAPITO (DISCENTE - Colaborador), MURILO JACOB DAHUR (DISCENTE - Colaborador);01/03/2016 a 31/12/2024
PI03068-2016;FACULDADE DE MEDICINA;A Relação entre Estresse no Trabalho, Saúde Mental e Suporte Organizacional: estudo realizado em ambiente hospitalar;Ciências da Saúde - Saúde Coletiva - Epidemiologia;Com Programa de Pós-graduação da UFG;não;BRUNO BERTONCELLO (DISCENTE - Colaborador), ENIO CHAVES DE OLIVEIRA (DOCENTE - Coordenador), EULANGE DE SOUSA (EXTERNO - Vice-coodernador);01/04/2016 a 31/12/2018
PV01352-2016;FACULDADE DE MEDICINA;Indicadores de saúde e fatores associados em atletas dos jogos dos Institutos Federais;Ciências da Saúde - Medicina - Saúde Materno-Infantil, Ciências da Saúde - Educação Física;Com Grupo de Pesquisa;não;ANA PAULA RODRIGUES DA COSTA (DISCENTE - Colaborador), CAROLINA RODRIGUES DE MENDONCA (DISCENTE - Colaborador), ERIKA APARECIDA DA SILVEIRA (DOCENTE - Coordenador), LORENA PEREIRA DE SOUZA ROSA (DISCENTE - Colaborador), MATIAS NOLL (DISCENTE - Colaborador);01/01/2016 a 30/12/2020
PV01521-2016;FACULDADE DE MEDICINA;POLIMORFISMOS GENÉTICOS, INFLAMAÇÃO E RISCO CARDIOVASCULAR NA OBESIDADE GRAVE: EFETIVIDADE DE INTERVENÇÃO  COM AZEITE DE OLIVA;Ciências da Saúde - Medicina;Com Grupo de Pesquisa;não;ANA CAROLINA FIGUEIREDO MODESTO (DISCENTE - Colaborador), ANA CRISTINA SILVA REBELO (DOCENTE - Colaborador), ANA PAULA DOS SANTOS RODRIGUES (DISCENTE - Colaborador), ANDREA BATISTA DE SOUSA CANHETA (DISCENTE - Colaborador), ANNELISA SILVA E ALVES DE CARVALHO SANTOS (DISCENTE - Colaborador), CAMILA GRASIELE ARAUJO DE OLIVEIRA (DISCENTE - Colaborador), CAROLINA RODRIGUES DE MENDONCA (DISCENTE - Colaborador), ELISANGELA DE PAULA SILVEIRA LACERDA (DOCENTE - Colaborador), ERIKA APARECIDA DA SILVEIRA (DOCENTE - Coordenador), JACQUELINE DANESIO DE SOUZA (DISCENTE - Colaborador), LORENA PEREIRA DE SOUZA ROSA (DISCENTE - Colaborador), LUCAS RAPHAEL BENTO E SILVA (DISCENTE - Colaborador), MATIAS NOLL (DISCENTE - Colaborador), RITA GORETI AMARAL (DOCENTE - Colaborador), RODOLFO NUNES CAMPOS (DOCENTE - Colaborador);01/01/2016 a 30/12/2020
PV0988-2016;UNID. ACAD. ESP/LETRAS E LINGUISTICA C;Da margem ao centro: discursos sobre as minorias nas mídias sociais  ;Lingüística, Letras e Artes - Lingüística - Teoria e Análise Lingüística;Com Grupo de Pesquisa;não;AMANDA PEREIRA DE SOUSA FRANCO (DISCENTE - Colaborador), AMANDA SOARES MANTOVANI (DISCENTE - Colaborador), ERISLANE RODRIGUES RIBEIRO (DOCENTE - Coordenador), MAXIMIANO ANTÔNIO PEREIRA (DISCENTE - Colaborador), RAQUEL COSTA GUIMARÃES NASCIMENTO (DISCENTE - Colaborador), YURE VIANA DA SILVA (DISCENTE - Colaborador);15/01/2016 a 31/12/2020
PI01876-2016;UNID. ACAD. ESP/CIENCIAS EXATAS - JATA;Fundamentos de tecnologia da informação para websites;Ciências Exatas e da Terra - Ciência da Computação - Metodologia e Técnicas da Computação - Sistemas de Informação;Sem Vínculo (Projeto Isolado);não;ADRIANA APARECIDA MOLINA GOMES (DOCENTE - Colaborador), CLAUDINEY GOULART (DOCENTE - Colaborador), ESDRAS TEIXEIRA COSTA (DOCENTE - Coordenador), GECIRLEI FRANCISCO DA SILVA (DOCENTE - Colaborador), GRACE KELLY SOUZA CARMO GOULART (DOCENTE - Colaborador), WENDER JOSE DE SOUZA (DOCENTE - Colaborador);07/03/2016 a 01/12/2020
PI01580-2016;INSTITUTO DE CIENCIAS BIOLOGICAS;DESENHO, SÍNTESE E ESTUDOS DE RELAÇÃO ESTRUTURA-FUNÇÃO DE PEPTÍDEOS COM POTENCIAL TERAPÊUTICO;Ciências Biológicas - Bioquímica - Química de Macromoléculas;Sem Vínculo (Projeto Isolado);não;EDUARDO MAFFUD CILLI (EXTERNO - Colaborador), ESTEBAN NICOLAS LORENZON (DOCENTE - Coordenador), NORIVAL ALVES SANTOS FILHO (EXTERNO - Colaborador);01/09/2016 a 01/09/2019
PI01582-2016;INSTITUTO DE CIENCIAS BIOLOGICAS;USO DE MODELOS DE MEMBRANA PARA ESTUDAR O MECANISMO DE AÇÃO DE PEPTÍDEOS ANTIMICROBIANOS;Ciências Biológicas - Biofísica - Biofísica Molecular;Com Programa de Pós-graduação da UFG;não;ESTEBAN NICOLAS LORENZON (DOCENTE - Coordenador);03/10/2016 a 02/10/2017
PI01699-2016;UAE REJ ESTUDOS GEOGRÁFICOS;GÊNERO E LUTA NO CERRADO GOIANO: Os saberes das mulheres  Cerradeiras e suas resistências diante da expansão capitalista;Ciências Humanas - Geografia - Geografia Humana - Geografia Agrária;Com Programa de Pós-graduação da UFG;não;EVANDRO CESAR CLEMENTE (DOCENTE - Coordenador), JOSIE MELISSA ACELO AGRICOLA (DISCENTE - Vice-coodernador);07/03/2016 a 10/05/2021
PI0641-2016;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Ação dos fatores de transcrição CreA, Msn2 e PacC na virulência de Beauveria bassiana contra Rhipicephalus microplus;Ciências Biológicas - Parasitologia - Entomologia e Malacologia de Parasitos e Vetores, Ciências Agrárias - Medicina Veterinária - Medicina Veterinária Preventiva;Tipo de vínculo desconhecido;não;ARTUR DE OLIVEIRA FRANCO (DISCENTE - Colaborador), CAIO MARCIO DE OLIVEIRA MONTEIRO (DOCENTE - Colaborador), CÁRITA DE SOUZA RIBEIRO E SILVA (DISCENTE - Colaborador), ELEN REGOZINO MUNIZ (DISCENTE - Colaborador), EVERTON KORT KAMP FERNANDES (DOCENTE - Coordenador), JAIRES GOMES DE OLIVEIRA FILHO (DISCENTE - Colaborador), NEMAT KEYHANI (EXTERNO - Colaborador), WALQUIRIA ARRUDA (DOCENTE - Colaborador), WOLF CHRISTIAN LUZ (DOCENTE - Colaborador);01/03/2016 a 31/12/2020
PI0642-2016;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Avaliação proteica do sistema imunológico e reprodutor de de fêmeas ingurgitadas de Rhipicephalus  (Boophilus) microplus infectadas com fungos entomopatogênicos;Ciências Biológicas - Parasitologia - Entomologia e Malacologia de Parasitos e Vetores, Ciências Agrárias - Medicina Veterinária - Medicina Veterinária Preventiva;Tipo de vínculo desconhecido;não;EVERTON KORT KAMP FERNANDES (DOCENTE - Coordenador), FABRICIO MOREIRA ALVES (EXTERNO - Colaborador);03/03/2016 a 31/12/2018
PI0862-2016;FACULDADE DE ADMINISTRAÇÃO, CONTABILIDADE E ECONOMIA;O INSTITUCIONALISMO E A ECONOMIA MONETÁRIA DE KEYNES: CONEXÕES E CONTRIBUIÇÕES TEÓRICAS PARA O PARADIGMA DA DINÂMICA CUMULATIVA DO SISTEMA ECONÔMICO E SOCIAL;Ciências Sociais Aplicadas - Economia - Teoria Econômica - História do Pensamento Econômico;Com Programa de Pós-graduação da UFG;não;EVERTON SOTTO TIBIRICA ROSA (DOCENTE - Coordenador), FELIPE RODRIGUES SOUSA (DISCENTE - Colaborador), MATHEUS HENRIQUE DE ARAUJO DUTRA (DISCENTE - Colaborador);28/03/2016 a 31/07/2021
PI0736-2016;FACULDADE DE HISTORIA;HISTÓRIA, MEMÓRIA E TESTEMUNHO: UMA ANÁLISE SOBRE AS PAIXÕES POLÍTICAS NO SÉCULO XX. ;Ciências Humanas - História - História Moderna e Contemporânea;Com Programa de Pós-graduação da UFG;não;ANA CAROLINE CÂMARA DE OLIVEIRA (DISCENTE - Colaborador), FABIANA DE SOUZA FREDRIGO (DOCENTE - Coordenador), FERNANDA LINHARES PEREIRA (DISCENTE - Colaborador), KAMILLY BARROS DE ABREU SILVA (DISCENTE - Colaborador), LEONARDO DE OLIVEIRA SOUZA (DISCENTE - Colaborador), SABRINA COSTA BRAGA (DISCENTE - Colaborador);01/09/2016 a 01/12/2020
PI0381-2016;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;Detecção e dinâmica espacial modelos e modelagens das desigualdades socioambiental: a geoinformação como suporte de apoio ao planejamento urbano e gestão territorial dos municípios de Goiânia e Aparecida de Goiânia  GO;Ciências Humanas - Geografia;Com Programa de Pós-graduação da UFG;não;ALEX MOTA DOS SANTOS (DOCENTE - Colaborador), FABRIZIA GIOPPO NUNES (DOCENTE - Coordenador), HELBER DE CARVALHO (DISCENTE - Colaborador), HELCI FERREIRA RAMOS (DISCENTE - Colaborador), RODRIGO LIMA SANTOS (DISCENTE - Colaborador), WAGNER DE SOUZA REZENDE (DOCENTE - Colaborador);15/10/2016 a 30/10/2020
PI02971-2016;FACULDADE DE MEDICINA;AVALIAÇÃO PÓS-OPERATÓRIA DE PACIENTES PORTADORES DE MEGAESÔFAGO CHAGÁSICO SUBMETIDOS À OPERAÇÃO DE SERRA DÓRIA;Ciências da Saúde - Medicina - Cirurgia - Cirurgia Gastroenterologia;Sem Vínculo (Projeto Isolado);não;FELIX ANDRE SANCHES PENHAVEL (DOCENTE - Coordenador), MATHEUS MAIA DE OLIVEIRA (DISCENTE - Colaborador), RANGELL DOS SANTOS GUERRA MACHADO (DISCENTE - Colaborador), VICTOR OLIVEIRA COUTINHO ROCHA (DISCENTE - Colaborador);14/06/2018 a 14/06/2022
PI0376-2016;INSTITUTO DE CIENCIAS BIOLOGICAS;Efeitos da exposição ao cloreto de alumínio sobre o desenvolvimento e morfofisiologia                    da próstata de gerbilos  ;Ciências Biológicas - Morfologia - Embriologia, Ciências Biológicas - Morfologia - Histologia;Com Programa de Pós-graduação da UFG;não;DANILO DA SILVA LIMA (DISCENTE - Colaborador), ELSON ALVES COSTA (DOCENTE - Colaborador), ESTHER DE SOUSA FIGUEREDO (DISCENTE - Colaborador), FERNANDA CRISTINA ALCANTARA DOS SANTOS (DOCENTE - Coordenador), GLAUCIA MARIA CAVASIN (DOCENTE - Colaborador), LIANA DA SILVA GOMES (DISCENTE - Colaborador), MANOEL FRANCISCO BIANCARDI (DOCENTE - Vice-coodernador), MARA RUBIA MARQUES (DOCENTE - Colaborador), MURION MONTEIRO DE GODOI (DISCENTE - Colaborador), PAULO CESAR GHEDINI (DOCENTE - Colaborador), RAPHAELA DE CASTRO GEORG (DOCENTE - Colaborador), RICARDO MENEGATTI (DOCENTE - Colaborador), YASMIN INOCÊNCIO FERNANDES E SILVA (DISCENTE - Colaborador);04/01/2016 a 31/12/2021
PV0101-2016;UNID. ACAD. ESP/BIOTECNOLOGIA - CATALA;IDENTIDADE-METAMORFOSE-EMANCIPAÇÃO: PROCESSOS DE CONSTRUÇÃO E TRANSFORMAÇÃO;Ciências Humanas - Psicologia - Psicologia Social - Papéis e Estruturas Sociais  Indivíduo;Com Grupo de Pesquisa;não;ANDRESSA NAZARETH SILVA (DISCENTE - Colaborador), DANIELA GERMANIA MARTINS (DISCENTE - Colaborador), FERNANDO CESAR PAULINO PEREIRA (DOCENTE - Coordenador), HÁGNES FERREIRA GOMES (DISCENTE - Colaborador), KARINA PEREIRA DA SILVA (DISCENTE - Colaborador), LARA GABRIELLA ALVES DOS SANTOS (EXTERNO - Colaborador), LUCAS SILVA ARAÚJO (DISCENTE - Colaborador), MATHEUS RODRIGUES DOS SANTOS (DISCENTE - Colaborador), POLLYANE LISITA DA SILVA (EXTERNO - Colaborador), RAFAEL FERREIRA DE CASTRO (DISCENTE - Colaborador), RENATA FIORESE FERNANDES (DISCENTE - Colaborador), ROMILDO RODRIGUES NEVES JÚNIOR (DISCENTE - Colaborador), VALMIRA RODRIGUES DO NASCIMENTO (DISCENTE - Colaborador), VITOR LUIZ NETO (DOCENTE - Colaborador);02/05/2016 a 31/12/2019
PI0459-2016;UNID. ACAD. ESP/MATEMATICA E TECNOLOGI;REDE DE APRENDIZAGEM EM ROBÓTICA EDUCACIONAL;Ciências Exatas e da Terra - Matemática;Sem Vínculo (Projeto Isolado);não;ARLINDO JOSE DE SOUZA JUNIOR (EXTERNO - Colaborador), CRHISTIANE DA FONSECA SOUZA (DOCENTE - Vice-coodernador), FERNANDO DA COSTA BARBOSA (DOCENTE - Coordenador);01/12/2016 a 30/06/2018
PI0373-2016;FACULDADE DE CIÊNCIAS E TECNOLOGIA;REDUÇÃO DE CUSTOS ATRAVÉS DO GERENCIAMENTO DE ENERGIA ELÉTRICA E EFICIÊNCIA ENERGÉTICA;Engenharias - Engenharia Elétrica - Sistemas Elétricos de Potência - Medição, Controle, Correção e Proteção de Sistemas Elétricos  de Potência, Engenharias - Engenharia de Produção - Engenharia Econômica - Análise de Custos;Sem Vínculo (Projeto Isolado);não;FERNANDO NUNES BELCHIOR (DOCENTE - Coordenador), JOSEPHY DIAS SANTOS (DISCENTE - Colaborador), MARCELO NUNES FONSECA (DOCENTE - Colaborador), WALESKA DE FATIMA MONTEIRO (DOCENTE - Colaborador);01/04/2016 a 31/08/2020
PI02026-2016;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;INFLUÊNCIA DO PILATES DE SOLO NA DISFUNÇÃO SEXUAL DE MULHERES OBESAS OU COM SOBREPESO;Ciências da Saúde - Fisioterapia e Terapia Ocupacional;Com Programa de Pós-graduação da UFG;não;FERNANDO PARANAIBA FILGUEIRA (DOCENTE - Coordenador), FLÁVIA LÍGIA SILVA (DISCENTE - Colaborador), JOÃO BATISTA ALVES DE SOUZA (SERVIDOR - Colaborador), NUBIA DE SOUZA LOBATO (DOCENTE - Vice-coodernador);01/07/2016 a 31/12/2018
PI0260-2016;FACULDADE DE FILOSOFIA;Funções e Comportamentos;Ciências Humanas - Filosofia - Metafísica, Ciências Humanas - Filosofia - Epistemologia;Tipo de vínculo desconhecido;não;FILIPE LAZZERI VIEIRA (DOCENTE - Coordenador);01/04/2016 a 17/12/2021
PI01407-2016;FACULDADE DE FILOSOFIA;Funções e Comportamentos;Ciências Humanas - Filosofia - Metafísica, Ciências Humanas - Filosofia - Epistemologia, Ciências Humanas - Psicologia - Fundamentos e Medidas da Psicologia;Sem Vínculo (Projeto Isolado);não;FILIPE LAZZERI VIEIRA (DOCENTE - Coordenador);01/04/2016 a 01/03/2019
PI01937-2016;ESCOLA DE MUSICA E ARTES CENICAS;Formação Musical no Brasil no século XIX;Lingüística, Letras e Artes - Artes - Música;Tipo de vínculo desconhecido;não;FLAVIA MARIA CRUVINEL (DOCENTE - Coordenador), GUILHERME BRAGA DE CARVALHO (DISCENTE - Colaborador);01/09/2016 a 31/12/2022
PI01807-2016;FACULDADE DE FARMACIA;AVALIAÇÃO DA ADESÃO MEDICAMENTOSA DOS PACIENTES ATENDIDOS EM GRUPOS DE HIPERDIA DA ESTRATÉGIA DA SAÚDE DA FAMÍLIA ;Ciências da Saúde - Farmácia, Outras - Multidisciplinar;Com Programa de Pós-graduação da UFG;não;DENICE FROTA DO LAGO (DISCENTE - Colaborador), FLAVIO MARQUES LOPES (DOCENTE - Coordenador), NATHALIE DE LOURDES SOUZA DEWULF (DOCENTE - Vice-coodernador);04/04/2016 a 31/12/2020
PI0289-2016;FACULDADE DE LETRAS;Formas e tendências da narrativa brasileira contemporânea;Lingüística, Letras e Artes - Letras - Literatura Brasileira;Com Programa de Pós-graduação da UFG;não;ALEX BRUNO DA SILVA (DISCENTE - Colaborador), EDILSON ALVES DE SOUZA (DISCENTE - Colaborador), FLAVIO PEREIRA CAMARGO (DOCENTE - Coordenador), FRÉDÉRIC GRIECO DEIJ MORAL GIL (DISCENTE - Colaborador), GISELIA RODRIGUES DIAS (DISCENTE - Colaborador), MARCELA FERREIRA DA SILVA (DISCENTE - Colaborador), RONALDO SOARES FARIAS (DISCENTE - Colaborador), ROSICLEY ANDRADE COIMBRA (DISCENTE - Colaborador), SIMIAO MENDES JUNIOR (DISCENTE - Colaborador), VICTORIA LOPES PACHECO (DISCENTE - Colaborador), WENDEL ALVES DE SOUSA (DISCENTE - Colaborador);01/10/2016 a 28/02/2022
PV02245-2016;ESCOLA DE AGRONOMIA;CERVEJA COM ADIÇÃO DE ARROZ FERMENTADO POR Monascus ruber E IDENTIFICAÇÃO DE METABÓLITOS SECUNDÁRIOS;Ciências Agrárias - Ciência e Tecnologia de Alimentos - Tecnologia de Alimentos - Tecnologia das Bebidas;Com Grupo de Pesquisa;não;FRANCIELO VENDRUSCOLO (DOCENTE - Coordenador), LUIZ CARLOS DA CUNHA (DOCENTE - Colaborador), TAINÁ FRANCISCA CORDEIRO DE SOUZA (DISCENTE - Colaborador);01/04/2016 a 30/06/2018
PI01155-2016;FACULDADE DE CIENCIAS SOCIAIS;LIMITES FISCAIS À EFETIVIDADE DO PROCESSO DEMOCRÁTICO NOS ESTADOS CONTEMPORÂNEOS: TENDÊNCIAS, IMPASSES E ALTERNATIVAS - Grupo de Estudos de Sociologia Fiscal;Ciências Sociais Aplicadas - Direito - Direito Público, Ciências Sociais Aplicadas - Economia - Teoria Econômica, Ciências Humanas - Ciência Política - Teoria Política - Teoria Política Contemporânea;Com Programa de Pós-graduação da UFG;não;CAROLINA LIMA GONCALVES (DISCENTE - Colaborador), EVERTON SOTTO TIBIRICA ROSA (DOCENTE - Vice-coodernador), FLÁVIO BATISTA DO NASCIMENTO (DISCENTE - Colaborador), FRANCISCO MATA MACHADO TAVARES (DOCENTE - Coordenador), GUSTAVO SABINO ALCÂNTARA SILVA (DISCENTE - Colaborador), KARINY CRUZ NOGUEIRA MARRA (DISCENTE - Colaborador), LAYS BÁRBARA VIEIRA MORAIS (DISCENTE - Colaborador), MARCOS VIEIRA DE LEMOS (DISCENTE - Colaborador), MIRELE RESENDE MACHADO (DISCENTE - Colaborador), PEDRO HENRIQUE MELO ALBERNAZ (DISCENTE - Colaborador), PEDRO VITOR GARCIA RAMOS (DISCENTE - Colaborador), SAULO DE OLIVEIRA PINTO COELHO (DOCENTE - Colaborador), SUSANA SILVA ARAÚJO (DISCENTE - Colaborador), THAINARA DE ÁVILA ROCHA (DISCENTE - Colaborador);18/03/2016 a 18/10/2020
PI01725-2016;FACULDADE DE CIENCIAS SOCIAIS;Mazatecos. Xamanismo e Política;Ciências Humanas - Antropologia;Com Programa de Pós-graduação da UFG;não;GABRIEL OMAR ALVAREZ (DOCENTE - Coordenador);01/08/2016 a 03/08/2020
PI0220-2016;ESCOLA DE ENGENHARIA ELÉTRICA, MECANICA E DE COMPUTACAO;INFLUÊNCIA DA SATURAÇÃO MAGNÉTICA NO PROJETO, DESEMPENHO E EFICIÊNCIA DA MÁQUINA SÍNCRONA COM ÍMÃS PERMANENTES NO ROTOR;Engenharias - Engenharia Elétrica - Sistemas Elétricos de Potência - Máquinas Elétricas e Dispositivos de Potência;Com Programa de Pós-graduação da UFG;não;BERNARDO PINHEIRO DE ALVARENGA (DOCENTE - Vice-coodernador), CELIO CORRÊA LEMES FILHO (DISCENTE - Colaborador), GEYVERSON TEIXEIRA DE PAULA (DOCENTE - Coordenador), LUCAS FRANCO DE ASSIS (DISCENTE - Colaborador), LUIZ HENRIQUE REIS DE JESUS (DISCENTE - Colaborador);01/08/2016 a 16/08/2021
PI0444-2016;UNID. ACAD. ESP/CIENCIAS EXATAS - JATA;TRANSPORTE ELETRÔNICO E CARACTERIZAÇÃO TOPOLÓGICA DE ESTRUTURAS EM MONOCAMADAS: EFEITOS DE INTERAÇÃO SPIN-ÓRBITA, CURVATURA, CAMPOS ELÉTRICOS/MAGNÉTICOS EXTERNOS, INTERAÇÃO ELÉTRON-ELÉTRON E EFEITO DE PROXIMIDADE COM SUPERCONDUTOR;Ciências Exatas e da Terra - Física - Física da Matéria Condensada;Sem Vínculo (Projeto Isolado);não;GINETOM SOUZA DINIZ (DOCENTE - Coordenador), PATRÍCIA DE ASSIS ALMEIDA (DISCENTE - Colaborador);01/12/2016 a 01/12/2020
PI0890-2016;FACULDADE DE EDUCACAO;MEDICALIZAÇÃO EM GOIÁS: INVESTIGAÇÕES CRÍTICAS NA HISTÓRIA E CONTEMPORANEIDADE DE PRÁTICAS E DISCURSOS BIOPSICOSSOCIAIS;Ciências Humanas - Psicologia - Fundamentos e Medidas da Psicologia - História, Teorias e Sistemas em Psicologia;Com Programa de Pós-graduação da UFG;não;AZUELLY PATRÍCIA BORGES GOUVEIA (DISCENTE - Colaborador), DIEGO BRAGA MELO (DISCENTE - Colaborador), GISELE TOASSA (DOCENTE - Coordenador), IZABELA ASSIS ROCHA (DISCENTE - Colaborador), JANSLE DE JESUS MENDES (DISCENTE - Colaborador), JÉSSICA BATISTA ARAÚJO (DISCENTE - Colaborador), JULIO MANOEL DOS SANTOS FILHO (DISCENTE - Colaborador), KARINNY GONCALVES DA SILVA (DISCENTE - Colaborador), LIVIA MARIA TERAN CAVALCANTI (DISCENTE - Colaborador), LUANA SILVA OLIVEIRA (DISCENTE - Colaborador), NELIO BORGES PERES (EXTERNO - Colaborador), PRISCILLA MENESCAL VIEIRA DOS SANTOS (DISCENTE - Colaborador), RAFAELA DE SOUSA CALDAS (DISCENTE - Colaborador), RAILDA APARECIDA BARBOSA BARRETO (DISCENTE - Colaborador), TIAGO CASSOLI (DOCENTE - Vice-coodernador), VALÉRIA BARROS COSTA (DISCENTE - Colaborador);28/09/2016 a 31/12/2020
PI0646-2016;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;AVALIAÇÃO DO PADRÃO DE SONO E PERFIL DE HUMOR DE PACIENTES COM HIPERTENSÃO ARTERIAL FISICAMENTE ATIVOS E INATIVOS;Ciências da Saúde - Educação Física;Com Programa de Pós-graduação da UFG;não;DAVID MICHEL DE OLIVEIRA (DOCENTE - Colaborador), GISELLE SOARES PASSOS (DOCENTE - Coordenador), MARCOS GONCALVES DE SANTANA (DOCENTE - Vice-coodernador);01/05/2016 a 20/12/2019
PI0324-2016;UNID. ACAD. ESP/CIENCIAS EXATAS - JATA;Uma Análise dos Conteúdos de Probabilidade e Estatística nos Livros do Ensino Fundamental e Ensino Médio da Cidade de Jataí.;Ciências Exatas e da Terra - Matemática;Sem Vínculo (Projeto Isolado);não;FERNANDA LEÃO DE SOUZA MEIRA (DISCENTE - Colaborador), GRACE KELLY SOUZA CARMO GOULART (DOCENTE - Coordenador);01/03/2016 a 28/02/2020
PI02806-2016;FACULDADE DE CIÊNCIAS E TECNOLOGIA;A PRODUÇÃO DE TRATADOS E OS FUNDAMENTOS DE ARQUITETURA E URBANISMO;Ciências Sociais Aplicadas - Arquitetura e Urbanismo - Fundamentos de Arquitetura e Urbanismo - História da Arquitetura e Urbanismo, Ciências Sociais Aplicadas - Arquitetura e Urbanismo - Fundamentos de Arquitetura e Urbanismo - Teoria da Arquitetura, Ciências Sociais Aplicadas - Arquitetura e Urbanismo - Fundamentos de Arquitetura e Urbanismo - Teoria do Urbanismo;Sem Vínculo (Projeto Isolado);não;GRADISCA DE OLIVEIRA WERNECK DE CAPISTRANO (DOCENTE - Coordenador);01/01/2016 a 31/08/2023
PI0465-2016;UNID. ACAD. ESP/LETRAS E LINGUISTICA C;POTENCIALIDADES TEÓRICAS DO CÍRCULO DE BAKHTIN PARA ANÁLISE DE DISCURSOS VERBOVOCOVISUAIS;Lingüística, Letras e Artes - Lingüística - Filosofia da Linguagem;Tipo de vínculo desconhecido;não;ARTUR GONCALVES SA TELES (DISCENTE - Colaborador), BRUNA CAROLINA RIBEIRO DA SILVA MACHADO (DISCENTE - Colaborador), BRUNO OLIVEIRA (DISCENTE - Colaborador), CAIRO JOSEPH DOS SANTOS FERREIRA (DISCENTE - Colaborador), CLÉCIO LUIS GONÇALVES DE OLIVEIRA (DISCENTE - Colaborador), GRENISSA BONVINO STAFUZZA (DOCENTE - Coordenador), GUILHERME CÉSAR DIAS NASCIMENTO (DISCENTE - Colaborador), LIZANDRA BELARMINO DE MOURA (DISCENTE - Colaborador), LUCIANO ROGERIO DO ESPIRITO SANTO ABRAO (DISCENTE - Colaborador), THAINA PEREIRA GONCALVES (DISCENTE - Colaborador), WELLINGTON DOS REIS NASCIMENTO (DISCENTE - Colaborador), WILLIAN FERNANDES (DISCENTE - Colaborador);04/01/2016 a 20/12/2020
